분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
총배출량(Gg CO2eq),292105.0629,315352.6113,343354.1466,378545.9775,403568.6135,433787.9248,470280.3003,501912.2509,431434.4559,469414.8284,502730.4499,516008.7176,538458.0707,548808.4335,557042.8239,561483.3645,566903.4416,580196.1504,593540.7176,597319.369,655106.2989,683798.1228,687004.9777,695715.3019,690779.9182,691341.064,692409.7748,709422.2959,725027.2814,699213.6702,654445.4591,676647.9049
순배출량,254159.2211,281385.5253,310216.9541,346994.152,369637.16,401626.6678,434432.7187,461298.0841,382505.5031,412334.4732,442635.7351,456469.1168,481101.1682,491936.6703,498765.4611,505161.0965,509455.9762,522071.0537,534495.4289,538470.5269,599016.3944,628553.1186,637740.4591,650683.8509,644902.0978,644769.2334,645467.1697,667721.0017,684683.6421,661493.553,616558.8974,638881.5876
에너지,240294.4846,258113.1879,278995.6349,308499.8086,327799.6796,352000.6819,385582.1095,411617.5285,351493.3078,382112.7798,411584.709,425928.6322,445254.6332,452962.4605,460054.6416,469333.9397,474631.2588,492132.3822,506048.645,512320.7746,564678.6543,593697.4135,594966.1118,602945.0458,595638.8481,598980.4876,600950.3384,614421.6579,630679.1767,609566.834,568060.442,587730.603
A 연료연소,235182.2214,253554.4804,275205.9382,305340.2473,325066.5825,349613.2315,383185.792,409141.4023,349141.9397,379577.0706,408915.2528,423225.0276,442541.4214,450177.558,456994.3356,466222.8311,471460.9285,488738.268,502596.7916,509073.8462,560898.2916,589656.8136,590615.4887,598474.7796,591546.8641,595216.3385,597053.6794,610445.1996,626251.9608,605369.3132,563854.3119,583183.4266
A 연료연소_1 에너지산업,48351.20284,54790.06885,62374.89943,68765.12032,83606.21142,91684.69032,108977.7905,122325.2001,106295.165,116150.2112,136124.2042,147477.0262,155764.2695,159992.5131,172849.3016,179003.7325,185847.1288,197249.6164,210717.5452,229408.9519,254797.297,262387.6224,266405.6356,272977.0572,258467.3973,260499.4136,262104.2996,269764.271,286398.7255,266224.5553,237037.5124,241080.4824
A 연료연소_1 에너지산업_a 공공전기 및 열 생산,36575.24832,42684.30665,50111.94511,56338.8312,71011.11021,78688.02828,95316.81269,107294.3044,91114.0321,100604.4665,120214.7407,131396.3269,140828.372,144871.8738,156494.4203,162906.147,170054.0406,181313.0872,192998.1396,212377.7119,239287.6199,246092.5675,249479.0795,256140.3434,241712.3089,242127.8139,242482.4401,251381.469,268355.6091,248745.7564,218065.4522,223656.5538
A 연료연소_1 에너지산업_b 석유정제,11313.28264,11603.49592,11668.05208,11884.38239,11953.45893,12366.63879,12838.45792,13283.01656,13243.44522,13678.74025,13791.02182,13723.60825,13504.36625,13278.40526,13348.16021,13583.85601,13738.11352,13963.35247,15528.64387,14626.34415,13035.06161,14056.08175,14658.07483,14592.28357,14889.21213,16573.28122,17916.01796,15847.60495,15858.28613,15364.49458,15173.26558,14013.5573
A 연료연소_1 에너지산업_c 고체연료 제조 및 기타 에너지 산업,462.67187,502.26628,594.90224,541.90673,641.64228,630.02325,822.51984,1747.87919,1937.68763,1867.00445,2118.4416,2357.09108,1431.53128,1842.23405,3006.72105,2513.72949,2054.97463,1973.17678,2190.76173,2404.8959,2474.61545,2238.97317,2268.48131,2244.43022,1865.87628,1798.31847,1705.84157,2535.19704,2184.83024,2114.30434,3798.79472,3410.37127
A 연료연소_2 제조업 및 건설업,76558.11508,88000.42744,97959.05543,108051.2625,112797.2093,115848.4307,124012.8477,129601.7618,120270.7516,125754.7273,130644.9286,131298.2824,137369.8176,139700.7857,137412.3659,137891.9959,139452.3154,144299.6378,149315.9962,138744.3666,162915.0655,184640.0992,180535.3677,182059.619,193760.9184,188485.3573,182566.1092,187755.9637,188048.7597,187608.8323,181711.1211,194347.7475
A 연료연소_2 제조업 및 건설업_a 철강,30929.06514,35743.40817,38901.20395,43578.29608,42776.00297,44917.34614,47438.7928,47944.07413,48259.59226,50243.41036,52156.37266,51991.07672,53997.24411,54892.27356,56180.28956,57086.07027,61859.73706,63074.90311,68743.42248,60073.61177,77756.26571,90665.62086,90217.08582,90606.82187,105262.6594,102034.4388,94503.20697,100662.6306,96499.14663,96436.53263,93136.84612,96946.24836
A 연료연소_2 제조업 및 건설업_b 비철금속,544.26238,556.07653,421.58403,409.49569,527.77886,661.36107,455.06117,401.30347,368.14156,476.76979,1176.90793,1110.9987,1148.97595,1378.25988,1364.35098,1287.31595,1295.39669,1791.09416,2013.13028,2275.29593,2344.26743,2604.63122,2360.95102,2517.79885,2416.30498,2690.25212,2674.07737,2631.22031,2988.76978,2856.51434,2881.32788,3347.61497
A 연료연소_2 제조업 및 건설업_c 화학,12289.69664,14808.92646,19817.12216,21729.51606,24106.8719,23343.57596,25204.51026,28729.24642,26116.56395,25797.66121,26748.70637,27261.09774,28722.74587,29154.50099,29110.30641,30274.88578,30971.01244,31675.53396,31130.62397,32113.40398,34935.9595,39751.03984,40124.37771,42615.84186,42602.33984,37898.78801,39167.25758,40626.60056,45952.88438,46363.32643,47013.82071,54275.96657
A 연료연소_2 제조업 및 건설업_d 펄프 제지 및 인쇄,2785.77137,2841.98077,3289.23118,3587.74651,4006.92325,4102.03867,4448.7343,4465.44148,3795.86551,4168.84915,3822.5451,3515.88504,3608.12083,3553.38324,3430.23199,3123.74025,2807.5945,2543.42743,2182.66914,1970.70302,1805.34161,1505.71431,1183.49666,1071.42205,772.29083,566.80551,646.30088,645.38076,662.18688,695.92385,717.08663,722.04066
A 연료연소_2 제조업 및 건설업_e 식음료품 가공 및 담배 제조,3254.97917,3329.70829,3643.16617,3717.59775,4026.55829,4301.63359,4343.46601,3995.22858,3399.19762,3136.80473,3151.21034,2880.68355,2971.44709,2994.42896,2950.13503,2911.77242,2636.76813,2676.74153,2333.90391,2325.82429,2399.82222,2158.11401,2081.95134,1873.90855,1842.2309,1807.69079,1849.96198,1832.41707,1955.13741,1900.50948,1990.7355,2050.53169
